"state","city","longitud","latitude"
"CHIAPAS","Escuintla","-9265449722","1532532552"
"CHIAPAS","Francisco Leon","-9327361116","1728683258"
"CHIAPAS","Frontera Comalapa","-9214216673","1565921699"
"CHIAPAS","Frontera Hidalgo","-9217892443","1478195196"
"CHIAPAS","La Grandeza","-9222533560","1550962449"
"CHIAPAS","Huehuetan","-9238480819","1501491995"
"CHIAPAS","Huixtan","-9245577648","1671040709"
"CHIAPAS","Huitiupan","-9268351545","1717244720"
"CHIAPAS","Huixtla","-9246361178","1513844647"
"CHIAPAS","La Independencia","-9203096429","1625380774"
"CHIAPAS","Ixhuatan","-9300979802","1729171692"
"CHIAPAS","Ixtacomitan","-9309698325","1742953871"
"CHIAPAS","Ixtapa","-9290438686","1680317137"
"CHIAPAS","Ixtapangajoya","-9299929416","1749741272"
"CHIAPAS","Jiquipilas","-9364825482","1666713859"
"CHIAPAS","Jitotol","-9286239160","1706766630"
"CHIAPAS","Larrainzar","-9271272190","1688479742"
"CHIAPAS","La Libertad","-9171983987","1768229571"
"CHIAPAS","Mapastepec","-9290022203","1543512728"
"CHIAPAS","Las Margaritas","-9198125228","1631773565"
"CHIAPAS","Mazapa de Madero","-9218590436","1538956696"
"CHIAPAS","Mazatan","-9244880085","1486341313"
"CHIAPAS","Metapa","-9219101185","1483559436"
"CHIAPAS","Mitontic","-9262895464","1686536608"
"CHIAPAS","Motozintla","-9225134228","1536444964"
"CHIAPAS","Nicolas Ruiz","-9258532113","1643761028"
"CHIAPAS","Ocosingo","-9209183199","1691190360"
"59","3219","2019-04","-9210312255"
"CHIAPAS","Ocotepec","-9316412632","1722514685"
"CHIAPAS","Ocozocoautla de Espinosa","-9337294723","1676162578"
"CHIAPAS","Ostuacan","-9333575061","1740779573"
"CHIAPAS","Osumacinta","-9309299198","1693609245"
"CHIAPAS","Oxchuc","-9234195909","1678392962"
"CHIAPAS","Palenque","-9198607709","1751168778"
"CHIAPAS","Pantelho","-9247742292","1700668364"
"CHIAPAS","Pantepec","-9304892622","1718794967"
"CHIAPAS","Pichucalco","-9312371601","1751511827"
"CHIAPAS","Pijijiapan","-9320780647","1567724777"
"CHIAPAS","El Porvenir","-9227921791","1545644405"
"CHIAPAS","Villa Comaltitlan","-9258101009","1521675655"
"CHIAPAS","Pueblo Nuevo Solistahuacan","-9289683014","1715830881"
"CHIAPAS","Reforma","-9315167089","1786114752"
"CHIAPAS","Las Rosas","-9237138032","1636339169"
"CHIAPAS","Sabanilla","-9255313361","1728357659"
"CHIAPAS","Salto de Agua","-9233732227","1755564743"
"CHIAPAS","San Cristobal de las Casas","-9263855209","1673880194"
"CHIAPAS","San Fernando","-9320657774","1687179994"
"CHIAPAS","Siltepec","-9232255903","1555953456"
"CHIAPAS","Simojovel","-9270762018","1713764677"
"CHIAPAS","Sitala","-9230765892","1702392196"
"CHIAPAS","Socoltenango","-9235216487","1624206002"
"CHIAPAS","Solosuchiapa","-9303497024","1742908221"
"CHIAPAS","Soyalo","-9292395011","1689165221"
"CHIAPAS","Suchiapa","-9309657054","1662949521"
"CHIAPAS","Suchiate","-9215286225","1468115455"
"CHIAPAS","Sunuapa","-9324355688","1748822124"
"CHIAPAS","Tapachula","-9226228048","1490239252"
"CHIAPAS","Tapalapa","-9310489786","1719106951"
"CHIAPAS","Tapilula","-9301618323","1725154686"
"CHIAPAS","Tecpatan","-9331294894","1713550066"
"CHIAPAS","Tenejapa","-9250268320","1682045345"
"CHIAPAS","Teopisca","-9247301709","1653813571"
"CHIAPAS","Tila","-9242613849","1729964281"
"CHIAPAS","Tonala","-9376060707","1607978855"
"CHIAPAS","Totolapa","-9268137034","1654498383"
"CHIAPAS","La Trinitaria","-9205396008","1612280704"
"CHIAPAS","Tumbala","-9231548146","1727721567"
"CHIAPAS","Tuxtla Gutierrez","-9312192126","1675347615"
"CHIAPAS","Tuxtla Chico","-9216627087","1493943071"
"CHIAPAS","Tuzantan","-9242106298","1515192752"
"CHIAPAS","Tzimol","-9218907215","1618317326"
"CHIAPAS","Union Juarez","-9208263194","1506075195"
"CHIAPAS","Villa Corzo","-9326257775","1618341538"
"CHIAPAS","Villaflores","-9328247687","1622641520"
"CHIAPAS","Yajalon","-9233993152","1718409233"
"CHIAPAS","Zinacantan","-9272364710","1676039920"
"CHIAPAS","San Juan Cancuc","-9236820582","1689318423"
"CHIAPAS","Aldama","-9268999644","1691633275"
"CHIAPAS","Benemerito de las Americas","-9065671162","1651348423"
"CHIAPAS","Maravilla Tenejapa","-9129627686","1614139625"
"CHIAPAS","Marques de Comillas","-9076566322","1633287512"
"CHIAPAS","Montecristo de Guerrero","-9261752450","1569599346"
"CHIAPAS","San Andres Duraznal","-9280295222","1713012672"
"CHIAPAS","Santiago el Pinar","-9271693378","1693778901"
"CHIAPAS","Capitan Luis angel Vidal","-9262830431","1560137017"
"CHIAPAS","Rincon Chamula San Pedro","-9293581336","1720414806"
"CHIAPAS","El Parral","-9300387875","1636768520"
"CHIAPAS","Mezcalapa","-9360542691","1718934378"
"CHIHUAHUA","Ahumada","-10651451785","3060744463"
"CHIHUAHUA","Aquiles Serdan","-10588729309","2859498475"
"CHIHUAHUA","Ascension","-10799847577","3109596469"
"CHIHUAHUA","Bachiniva","-10725901252","2877674970"
"CHIHUAHUA","Balleza","-10635361111","2694980655"
"CHIHUAHUA","Batopilas","-10773924519","2702357206"
"CHIHUAHUA","Bocoyna","-10758763664","2784016435"
"CHIHUAHUA","Buenaventura","-10746663438","2984510025"
"CHIHUAHUA","Camargo","-10517615539","2767026700"
"CHIHUAHUA","Carichi","-10705496901","2791652856"
"CHIHUAHUA","Casas Grandes","-10794430017","3037754390"
"CHIHUAHUA","Coronado","-10516162960","2673661312"
"CHIHUAHUA","Coyame del Sotol","-10509168623","2945973230"
"CHIHUAHUA","La Cruz","-10520140565","2786253503"
"CHIHUAHUA","Cusihuiriachi","-10683661786","2824160514"
"CHIHUAHUA","Chihuahua","-10612488607","2873234295"
"19","1","2014-12","-10608826508"
"CHIHUAHUA","Chinipas","-10853744192","2739347894"
"CHIHUAHUA","Delicias","-10547435925","2820368804"
"CHIHUAHUA","Dr. Belisario Dominguez","-10647512970","2815149349"
"CHIHUAHUA","Santa Isabel","-10636842256","2834281659"
"CHIHUAHUA","Gomez Farias","-10773297657","2936059249"
"CHIHUAHUA","Gran Morelos","-10651069876","2824900094"
"CHIHUAHUA","Guachochi","-10706012786","2682744674"
"CHIHUAHUA","Guadalupe y Calvo","-10696464774","2609462638"
"CHIHUAHUA","Guazapares","-10827979211","2727637299"
"CHIHUAHUA","Hidalgo del Parral","-10571656177","2692821249"
"CHIHUAHUA","Huejotitan","-10617911607","2705468199"
"CHIHUAHUA","Ignacio Zaragoza","-10775801294","2964985049"
"CHIHUAHUA","Janos","-10819124526","3088907001"
"CHIHUAHUA","Julimes","-10542931972","2842389402"
"CHIHUAHUA","Lopez","-10503176410","2700116755"
"CHIHUAHUA","Madera","-10814216669","2919138414"
"CHIHUAHUA","Maguarichi","-10799439162","2785873591"
"CHIHUAHUA","Manuel Benavides","-10390506747","2910690257"
"CHIHUAHUA","Matachi","-10775601246","2884838632"
"CHIHUAHUA","Meoqui","-10548233806","2826764282"
"CHIHUAHUA","Moris","-10852734360","2815660787"
"CHIHUAHUA","Namiquipa","-10740876807","2925113331"
"CHIHUAHUA","Nonoava","-10673554341","2747171754"
"CHIHUAHUA","Nuevo Casas Grandes","-10790860115","3041619315"
"CHIHUAHUA","Ojinaga","-10440203070","2955902630"
"CHIHUAHUA","Praxedis G. Guerrero","-10600546733","3137101900"
"CHIHUAHUA","Riva Palacio","-10650465384","2854611143"
"CHIHUAHUA","Rosales","-10555518782","2819024266"
"CHIHUAHUA","Rosario","-10629708125","2731767344"
"CHIHUAHUA","San Francisco de Borja","-10668212193","2790318075"
"CHIHUAHUA","San Francisco de Conchos","-10533599593","2758889500"
"CHIHUAHUA","San Francisco del Oro","-10585023129","2685947077"
"CHIHUAHUA","Santa Barbara","-10581849988","2680669224"
"CHIHUAHUA","Satevo","-10610704660","2795643510"
"CHIHUAHUA","Saucillo","-10529347962","2802853848"
"CHIHUAHUA","Temosachic","-10782934308","2895279241"
"CHIHUAHUA","El Tule","-10626513346","2705573408"
"CHIHUAHUA","Urique","-10791440036","2721060768"
"CHIHUAHUA","Uruachi","-10821480237","2786673017"
"CHIHUAHUA","Valle de Zaragoza","-10581084141","2745727855"
"CIUDAD DE MEXICO","Azcapotzalco","-9918008281","1949720430"
"CIUDAD DE MEXICO","Coyoacan","-9911178817","1930760397"
"CIUDAD DE MEXICO","Cuajimalpa de Morelos","-9931756718","1935250755"
"CIUDAD DE MEXICO","Gustavo A. Madero","-9912705431","1948596317"
"CIUDAD DE MEXICO","Iztacalco","-9909202557","1939030964"
"CIUDAD DE MEXICO","Iztapalapa","-9907072819","1929538829"
"CIUDAD DE MEXICO","La Magdalena Contreras","-9924164547","1932025485"
"CIUDAD DE MEXICO","Milpa Alta","-9902146922","1919241580"
"CIUDAD DE MEXICO","Tlahuac","-9906173935","1929705369"
"CIUDAD DE MEXICO","Tlalpan","-9916804434","1927051316"
"CIUDAD DE MEXICO","Xochimilco","-9912641684","1925991694"
"CIUDAD DE MEXICO","Benito Juarez","-9917373585","1939474452"
"CIUDAD DE MEXICO","Miguel Hidalgo","-9920552938","1942809599"
"15960","CIUDAD DE MeXICO","0","0"
"DURANGO","Canatlan","-10478242892","2452405638"
"DURANGO","Canelas","-10654655075","2512440638"
"DURANGO","Coneto de Comonfort","-10476925424","2497902301"
"DURANGO","Cuencame","-10369991838","2487025023"
"DURANGO","Durango","-10467556720","2403701142"
"DURANGO","General Simon Bolivar","-10322650170","2468910109"
"DURANGO","Gomez Palacio","-10347889284","2558918536"
"DURANGO","Guadalupe Victoria","-10412134519","2444880734"
"DURANGO","Guanacevi","-10596248186","2593887721"
"DURANGO","Inde","-10522302001","2591260094"
"DURANGO","Lerdo","-10353449511","2555647009"
"DURANGO","Mapimi","-10385150461","2583376406"
"DURANGO","Mezquital","-10439033980","2347867985"
"DURANGO","Nazas","-10411397791","2521848086"
"DURANGO","Nombre de Dios","-10424664248","2384922811"
"DURANGO","Otaez","-10599554743","2469852362"
"DURANGO","Panuco de Coronado","-10431628791","2440344085"
"DURANGO","Peñon Blanco","-10403039087","2479295335"
"DURANGO","Poanas","-10404743803","2397492292"
"DURANGO","Pueblo Nuevo","-10535509717","2378273170"
"DURANGO","Rodeo","-10456182502","2518202009"
"DURANGO","San Bernardo","-10552839838","2599986736"
"DURANGO","San Dimas","-10594012626","2409618461"
"DURANGO","San Juan de Guadalupe","-10278262973","2463249653"
"DURANGO","San Luis del Cordero","-10426972260","2541660500"
"DURANGO","San Pedro del Gallo","-10429342061","2556826833"
"DURANGO","Santa Clara","-10335550637","2447551424"
"DURANGO","Santiago Papasquiaro","-10541886159","2504667708"
"DURANGO","Suchil","-10391634108","2362158233"
"DURANGO","Tamazula","-10696781332","2497199149"
"DURANGO","Tepehuanes","-10572360828","2534283232"
"DURANGO","Tlahualilo","-10343990909","2611163376"
"DURANGO","Topia","-10657073486","2521282020"
"DURANGO","Vicente Guerrero","-10398659168","2373272720"
"DURANGO","Nuevo Ideal","-10507354099","2488864802"
"GUANAJUATO","Acambaro","-10070505007","2004724900"
"GUANAJUATO","San Miguel de Allende","-10076071648","2090605281"
"GUANAJUATO","Apaseo el Alto","-10061960871","2045566684"
"GUANAJUATO","Apaseo el Grande","-10068874469","2054593537"
"GUANAJUATO","Atarjea","-9972139030","2126673533"
"GUANAJUATO","Celaya","-10082941681","2052954593"
"GUANAJUATO","Manuel Doblado","-10195094282","2072716748"
"GUANAJUATO","Comonfort","-10075570549","2072239618"
"GUANAJUATO","Coroneo","-10036740284","2019909923"
"GUANAJUATO","Cortazar","-10096699862","2048429241"
"GUANAJUATO","Cueramaro","-10167861268","2062837749"
"GUANAJUATO","Doctor Mora","-10032558880","2114269296"
"GUANAJUATO","Dolores Hidalgo Cuna de la Independencia Nacional","-10093091526","2115668329"
"GUANAJUATO","Guanajuato","-10125953192","2102021941"
"GUANAJUATO","Huanimaro","-10149808613","2036705313"
"GUANAJUATO","Irapuato","-10136319357","2066796183"
"GUANAJUATO","Jaral del Progreso","-10106789580","2037072376"
"GUANAJUATO","Jerecuaro","-10051306439","2014842553"
"GUANAJUATO","Leon","-10165760550","2109767461"
"GUANAJUATO","Moroleon","-10119971091","2013269130"
"GUANAJUATO","Penjamo","-10172152108","2042815529"
